Date,b0,b1,b2,b3,t1,t2
2010-09-13,1.72356,-1.27686,8.02146,-2.59146,8.6975,2.37616
2010-09-14,1.75425,-1.2645,-3.70155,6.97811,2.53404,8.45304
2010-09-15,1.37588,-0.86804,-2.96051,7.61775,2.30006,9.86827
2010-09-16,1.09027,-0.57551,-2.28064,8.35258,2.0938,11.08799
2010-09-17,1.13691,-0.65512,-2.28976,8.45067,2.21859,10.86461
2010-09-20,1.23508,-0.76456,-2.43593,8.12927,2.23352,10.48755
2010-09-21,1.49333,-1.05667,-2.6765,7.57374,2.46591,9.61567
2010-09-22,1.52516,-1.11268,-2.76092,7.13148,2.60743,9.44479
2010-09-23,1.06799,-0.62868,-2.52733,8.13423,2.38484,10.4376
2010-09-24,1.00121,-0.56267,-2.5469,8.31707,2.35837,10.38201
2010-09-27,0.93244,-0.4455,-2.63012,8.63651,2.37576,10.45652
2010-09-28,0.89193,-0.40741,-2.31361,8.40608,2.34201,10.95058
2010-09-29,0.85233,-0.38433,-2.3779,8.54118,2.4849,10.47813
2010-09-30,0.86831,-0.36621,-2.37695,8.59599,2.71163,10.63013
2010-10-01,0.87519,-0.10694,-2.20326,8.10519,1.9425,11.08502
2010-10-04,0.81935,-0.13301,-2.23739,8.21456,2.10227,10.96905
2010-10-05,0.82842,-0.13954,-2.29363,8.22801,2.1394,11.0366
2010-10-06,0.84208,-0.12503,-2.43707,8.2346,1.99513,11.01894
2010-10-07,0.86493,-0.14965,-2.54772,8.3954,2.21581,10.8504
2010-10-08,0.86951,-0.14594,-2.63352,8.44434,2.21861,10.74567
2010-10-11,0.88563,-0.18338,-2.67325,8.48418,2.23714,10.7319
2010-10-12,0.82597,-0.12797,-2.91109,8.63751,2.37187,10.43021
2010-10-13,0.90023,-0.20179,-2.87031,8.69345,2.41528,10.31505
2010-10-14,0.90919,-0.19465,-2.88879,8.70159,2.40052,10.48122
2010-10-15,0.95555,-0.21042,-3.13365,8.8381,2.41602,10.28903
2010-10-18,1.02699,-0.24665,-3.28863,8.86587,2.53713,9.89618
2010-10-19,1.01491,-0.22545,-2.80416,8.67407,2.3909,10.38201
2010-10-20,1.20294,-0.37954,-3.01381,8.06271,2.36014,9.88936
2010-10-21,0.98567,-0.17546,-2.60936,8.59653,2.34682,10.08467
2010-10-22,0.98097,-0.2011,-2.37765,8.53952,2.39179,10.09193
2010-10-25,0.96249,-0.18415,-2.42813,8.55713,2.35762,10.04444
2010-10-26,1.16581,-0.34219,-2.55507,8.00741,2.25077,9.7705
2010-10-27,1.24282,-0.40501,-2.53243,7.87951,2.20053,9.55263
2010-10-28,1.08255,-0.26514,-2.38824,8.39392,2.21171,9.92552
2010-10-29,1.01142,-0.15239,-2.38181,8.42914,2.06458,10.08799
2010-11-01,0.93332,-0.09368,8.52142,-2.30326,10.02004,2.14148
2010-11-02,0.90838,-0.06182,8.43094,-2.24499,9.95256,2.14618
2010-11-03,0.85333,-0.00843,8.68038,-2.55861,9.46359,2.36948
2010-11-04,0.96977,-0.14155,9.03999,-2.74084,9.45364,2.57462
2010-11-05,0.89502,-0.03174,9.6676,-3.86601,8.99135,2.8517
2010-11-08,0.92061,-0.07776,9.71124,-3.76347,8.96691,2.88965
2010-11-09,0.8925,-0.08502,11.33573,-5.37892,8.11285,3.50554
2010-11-10,0.99837,-0.21371,10.53778,-4.39532,8.3898,3.31794
